wavelength_um,rsr_watts,spectra_type,,,,
7.8099996E-01,6.8764758E-01,lawn_grass,,,,
7.8499997E-01,6.9014859E-01,lawn_grass,,,,
7.8899997E-01,6.9208205E-01,lawn_grass,,,,
7.9299998E-01,6.9367009E-01,lawn_grass,,,,
7.9699999E-01,6.9602036E-01,lawn_grass,,,,
8.0150002E-01,6.9734007E-01,lawn_grass,,,,
8.0650002E-01,6.9930542E-01,lawn_grass,,,,
8.1150001E-01,7.0028251E-01,lawn_grass,,,,
8.1650001E-01,7.0209414E-01,lawn_grass,,,,
8.2199997E-01,7.0452869E-01,lawn_grass,,,,
8.2800001E-01,7.0319426E-01,lawn_grass,,,,
8.3499998E-01,7.0274049E-01,lawn_grass,,,,
8.4300005E-01,7.0634425E-01,lawn_grass,,,,
8.5100001E-01,7.0788825E-01,lawn_grass,,,,
8.5900003E-01,7.0444012E-01,lawn_grass,,,,
8.7099999E-01,7.0429546E-01,lawn_grass,,,,
8.8300002E-01,7.0195335E-01,lawn_grass,,,,
8.9399999E-01,7.058872E-01,lawn_grass,,,,
9.0399998E-01,7.053048E-01,lawn_grass,,,,
9.1399997E-01,7.0420557E-01,lawn_grass,,,,
9.2399997E-01,7.0115083E-01,lawn_grass,,,,
9.3299997E-01,6.9707876E-01,lawn_grass,,,,
9.4099998E-01,6.9060624E-01,lawn_grass,,,,
9.49E-01,6.7956662E-01,lawn_grass,,,,
9.5700002E-01,6.662699E-01,lawn_grass,,,,
9.6399999E-01,6.6050196E-01,lawn_grass,,,,
9.6999997E-01,6.5755755E-01,lawn_grass,,,,
9.7599995E-01,6.5774113E-01,lawn_grass,,,,
9.8199993E-01,6.5976447E-01,lawn_grass,,,,
9.8799998E-01,6.5872157E-01,lawn_grass,,,,
9.9400002E-01,6.6166639E-01,lawn_grass,,,,
1E+00,6.6685432E-01,lawn_grass,,,,
1.006E+00,6.6927886E-01,lawn_grass,,,,
1.012E+00,6.7213506E-01,lawn_grass,,,,
1.018E+00,6.7873037E-01,lawn_grass,,,,
1.0235E+00,6.8041122E-01,lawn_grass,,,,
1.0285E+00,6.8417597E-01,lawn_grass,,,,
1.0335E+00,6.8846732E-01,lawn_grass,,,,
1.0385E+00,6.9035846E-01,lawn_grass,,,,
1.0434999E+00,6.9406468E-01,lawn_grass,,,,
1.0484999E+00,6.9541365E-01,lawn_grass,,,,
1.0534999E+00,6.9541711E-01,lawn_grass,,,,
1.0584999E+00,6.9831538E-01,lawn_grass,,,,
1.0634999E+00,6.9862205E-01,lawn_grass,,,,
1.0684999E+00,6.9968069E-01,lawn_grass,,,,
1.0735E+00,6.9842523E-01,lawn_grass,,,,
1.0785E+00,6.9972551E-01,lawn_grass,,,,
1.0835E+00,6.9901836E-01,lawn_grass,,,,
1.0885E+00,6.9782579E-01,lawn_grass,,,,
1.0935E+00,6.9804001E-01,lawn_grass,,,,
1.0985E+00,6.9706756E-01,lawn_grass,,,,
1.1035E+00,6.9226646E-01,lawn_grass,,,,
1.1085E+00,6.935029E-01,lawn_grass,,,,
1.1135E+00,6.8944824E-01,lawn_grass,,,,
1.1185E+00,6.8878579E-01,lawn_grass,,,,
1.1235E+00,6.8385464E-01,lawn_grass,,,,
1.1285E+00,6.7763966E-01,lawn_grass,,,,
1.1335E+00,6.654188E-01,lawn_grass,,,,
1.1385E+00,6.4968461E-01,lawn_grass,,,,
1.1435E+00,6.3008863E-01,lawn_grass,,,,
1.1485E+00,6.1168891E-01,lawn_grass,,,,
1.1535E+00,5.989123E-01,lawn_grass,,,,
1.1585E+00,5.903011E-01,lawn_grass,,,,
1.1635E+00,5.8408254E-01,lawn_grass,,,,
1.1684999E+00,5.8089668E-01,lawn_grass,,,,
1.1735001E+00,5.7738E-01,lawn_grass,,,,
1.1785001E+00,5.7544702E-01,lawn_grass,,,,
1.1835001E+00,5.7361102E-01,lawn_grass,,,,
1.1885E+00,5.7364219E-01,lawn_grass,,,,
1.1935E+00,5.7243496E-01,lawn_grass,,,,
1.1985E+00,5.7131362E-01,lawn_grass,,,,
1.2035E+00,5.7193887E-01,lawn_grass,,,,
1.2085E+00,5.7202357E-01,lawn_grass,,,,
1.2135E+00,5.7403833E-01,lawn_grass,,,,
1.2185E+00,5.7733196E-01,lawn_grass,,,,
1.2235E+00,5.7848793E-01,lawn_grass,,,,
1.2285E+00,5.8068407E-01,lawn_grass,,,,
1.2335E+00,5.8223915E-01,lawn_grass,,,,
1.2385E+00,5.8540595E-01,lawn_grass,,,,
1.2435E+00,5.8723372E-01,lawn_grass,,,,
1.2485E+00,5.8984613E-01,lawn_grass,,,,
1.2535E+00,5.9169883E-01,lawn_grass,,,,
1.2585E+00,5.9329027E-01,lawn_grass,,,,
1.2635E+00,5.9392887E-01,lawn_grass,,,,
1.2685E+00,5.9371197E-01,lawn_grass,,,,
1.2735001E+00,5.9358543E-01,lawn_grass,,,,
1.2785001E+00,5.9128565E-01,lawn_grass,,,,
1.2835001E+00,5.9022778E-01,lawn_grass,,,,
1.2885001E+00,5.8640724E-01,lawn_grass,,,,
1.2935001E+00,5.8388281E-01,lawn_grass,,,,
1.2985001E+00,5.7846022E-01,lawn_grass,,,,
1.3034999E+00,5.7201433E-01,lawn_grass,,,,
1.3084999E+00,5.6455302E-01,lawn_grass,,,,
1.3134999E+00,5.5495429E-01,lawn_grass,,,,
1.3184999E+00,5.4343969E-01,lawn_grass,,,,
1.3234999E+00,5.3179574E-01,lawn_grass,,,,
1.3284999E+00,5.1806235E-01,lawn_grass,,,,
1.3334999E+00,5.0497991E-01,lawn_grass,,,,
1.3384999E+00,4.91245E-01,lawn_grass,,,,
1.3434999E+00,4.7793502E-01,lawn_grass,,,,
1.3484999E+00,4.6517336E-01,lawn_grass,,,,
1.3534999E+00,4.5696396E-01,lawn_grass,,,,
1.3584999E+00,4.4763571E-01,lawn_grass,,,,
1.3634999E+00,4.3612683E-01,lawn_grass,,,,
1.3684999E+00,4.236874E-01,lawn_grass,,,,
1.3735E+00,4.0613508E-01,lawn_grass,,,,
1.3785E+00,3.8496324E-01,lawn_grass,,,,
1.3835E+00,3.5124722E-01,lawn_grass,,,,
1.3885E+00,3.1519911E-01,lawn_grass,,,,
1.3935E+00,2.7650818E-01,lawn_grass,,,,
1.3985E+00,2.4228781E-01,lawn_grass,,,,
1.4035E+00,2.1272515E-01,lawn_grass,,,,
1.4085E+00,1.8879631E-01,lawn_grass,,,,
1.4135E+00,1.7656782E-01,lawn_grass,,,,
1.4184999E+00,1.6496502E-01,lawn_grass,,,,
1.4234999E+00,1.578767E-01,lawn_grass,,,,
1.4284999E+00,1.5200295E-01,lawn_grass,,,,
1.4334999E+00,1.4854719E-01,lawn_grass,,,,
1.4384999E+00,1.4609617E-01,lawn_grass,,,,
1.4434999E+00,1.4179964E-01,lawn_grass,,,,
1.4484999E+00,1.417613E-01,lawn_grass,,,,
1.4534999E+00,1.4150548E-01,lawn_grass,,,,
1.4584999E+00,1.4268148E-01,lawn_grass,,,,
1.4634999E+00,1.4456613E-01,lawn_grass,,,,
1.4684999E+00,1.4521459E-01,lawn_grass,,,,
1.4735E+00,1.5079781E-01,lawn_grass,,,,
1.4785E+00,1.5481631E-01,lawn_grass,,,,
1.4835E+00,1.6070449E-01,lawn_grass,,,,
1.4885E+00,1.6611046E-01,lawn_grass,,,,
1.4935E+00,1.7316394E-01,lawn_grass,,,,
1.4985E+00,1.789767E-01,lawn_grass,,,,
1.5035E+00,1.8501477E-01,lawn_grass,,,,
1.5085E+00,1.9215417E-01,lawn_grass,,,,
1.5135E+00,1.9883698E-01,lawn_grass,,,,
1.5185E+00,2.0808744E-01,lawn_grass,,,,
1.5235E+00,2.1500109E-01,lawn_grass,,,,
1.5285E+00,2.2407648E-01,lawn_grass,,,,
1.5339999E+00,2.3118386E-01,lawn_grass,,,,
1.54E+00,2.3845999E-01,lawn_grass,,,,
1.546E+00,2.4756083E-01,lawn_grass,,,,
1.5519999E+00,2.5678545E-01,lawn_grass,,,,
1.558E+00,2.6346862E-01,lawn_grass,,,,
1.5639999E+00,2.7074674E-01,lawn_grass,,,,
1.5705E+00,2.7847308E-01,lawn_grass,,,,
1.5775E+00,2.8596181E-01,lawn_grass,,,,
1.5845E+00,2.9367152E-01,lawn_grass,,,,
1.5915E+00,3.014738E-01,lawn_grass,,,,
1.5985E+00,3.0810586E-01,lawn_grass,,,,
1.6055E+00,3.140218E-01,lawn_grass,,,,
1.6125E+00,3.198348E-01,lawn_grass,,,,
1.6194999E+00,3.2685509E-01,lawn_grass,,,,
1.6265E+00,3.3028221E-01,lawn_grass,,,,
1.6335E+00,3.3497211E-01,lawn_grass,,,,
1.6404999E+00,3.3739883E-01,lawn_grass,,,,
1.6474999E+00,3.4070516E-01,lawn_grass,,,,
1.6544999E+00,3.4400925E-01,lawn_grass,,,,
1.6615E+00,3.4564748E-01,lawn_grass,,,,
1.6684999E+00,3.4727168E-01,lawn_grass,,,,
1.6760001E+00,3.455438E-01,lawn_grass,,,,
1.684E+00,3.4239951E-01,lawn_grass,,,,
1.692E+00,3.405765E-01,lawn_grass,,,,
1.7E+00,3.3804527E-01,lawn_grass,,,,
1.7080001E+00,3.3507362E-01,lawn_grass,,,,
1.7160001E+00,3.2913205E-01,lawn_grass,,,,
1.724E+00,3.2410625E-01,lawn_grass,,,,
1.732E+00,3.1569642E-01,lawn_grass,,,,
1.74E+00,3.1377694E-01,lawn_grass,,,,
1.748E+00,3.0596665E-01,lawn_grass,,,,
1.756E+00,2.9863101E-01,lawn_grass,,,,
1.7639999E+00,2.9262748E-01,lawn_grass,,,,
1.7720001E+00,2.8637218E-01,lawn_grass,,,,
1.7800001E+00,2.8472713E-01,lawn_grass,,,,
1.7880001E+00,2.8361878E-01,lawn_grass,,,,
1.7960001E+00,2.8203318E-01,lawn_grass,,,,
1.8049999E+00,2.8200272E-01,lawn_grass,,,,
1.8149999E+00,2.8254467E-01,lawn_grass,,,,
1.8249999E+00,2.8268868E-01,lawn_grass,,,,
1.8349999E+00,2.7952471E-01,lawn_grass,,,,
1.8449999E+00,2.6923004E-01,lawn_grass,,,,
1.8549999E+00,2.4978387E-01,lawn_grass,,,,
1.8649999E+00,2.1841833E-01,lawn_grass,,,,
1.875E+00,1.6681547E-01,lawn_grass,,,,
1.885E+00,1.1406213E-01,lawn_grass,,,,
1.895E+00,7.3214598E-02,lawn_grass,,,,
1.905E+00,5.3837311E-02,lawn_grass,,,,
